farmer_id,age,edu,hhsize,livestock,landhold,assetheld_1,assetheld_5,assetheld_9,knowawd,renter,area1_acre,anymarginal,ncrop1,rice_rice_sys,boro_rvirrig_1,boro_revperacre_1,boro_tcost_1,boro_watercostpacre_1,aman_peracre_1
1,65,0,5,2,0.666666666666667,0,0,0,0,1,0.333333333333333,1,1,0,16,50400,16614,3564,0
2,35,0,5,3,1,0,0,0,0,0,0.333333333333333,1,1,0,18,44880,16884,3534,0
3,40,3,5,6,2.66666666666667,0,0,0,0,0,0.666666666666667,1,1,0,18,44460,15567,3567,0
4,40,12,6,2,1.33333333333333,1,0,0,1,0,0.666666666666667,1,1,0,13,44280,14412,3012,0
5,55,5,3,2,1.5,0,0,0,0,0,0.333333333333333,1,1,0,14,38760,14964,3414,0
6,50,5,5,3,1,0,0,0,0,0,0.333333333333333,1,1,0,19,33697.1749516157,15126,3876,0
7,55,5,7,5,1,1,0,0,0,0,0.25,1,1,0,15,31714.9881897559,15060,3060,0
8,65,16,5,3,0.5,1,1,0,1,0,0.5,1,1,0,13,33036.4470391881,15742,3442,0
9,23,9,7,7,0.333333333333333,1,0,0,1,0,0.333333333333333,1,1,0,22,31714.9881897559,14016,1716,0
10,55,2,8,3,2.66666666666667,0,0,0,0,0,1.33333333333333,1,1,0,18,45000,17022,3297,0
11,55,9,4,3,3.33333333333333,0,0,0,1,0,0.333333333333333,1,2,1,16,48000,14814,864,37800
12,50,4,4,2,4,0,0,0,0,0,0.333333333333333,1,2,1,17,36480,16320,1020,48000
13,53,9,5,8,6,0,0,0,0,0,1,0,2,1,20,43999.9987792969,18800,5100,32000.0009765625
14,40,0,5,1,0.5,0,0,0,0,0,0.5,0,2,1,16,41040,11500,5100,40800
15,30,5,4,1,0.5,0,0,0,0,0,0.5,0,2,1,14,29439.9990234375,18400,5100,13350.9798828574
16,35,0,6,2,0.333333333333333,0,0,0,0,0,0.333333333333333,0,2,1,13,37661.5484753352,11550,4800,40052.9411764706
17,42,9,5,0,1.33333333333333,0,0,0,0,0,0.666666666666667,0,2,1,14,36000,18825,4800,37740
18,45,0,5,1,1,0,0,0,0,0,0.333333333333333,0,2,1,16,38640,20100,5100,25200
19,25,5,5,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,2,1,18,39643.7352371949,17250,5100,14018.5294117647
20,35,7,4,3,1.66666666666667,1,0,0,1,0,0.833333333333333,0,2,1,18,45600,21330,4950,31200
21,30,5,4,2,1,0,0,0,1,1,0.666666666666667,1,2,1,25,28800,10518.75,1218.75,18360
