upazila_id,village_id,farmer_id,waterlevel,waterunit,plantdate,measuredate,districtname,measure1,measure2,visit,DistrictName,Upazila,treatment,anymarginal,afterharvest,plantdate1,dat,dryfield
4,1,1,3,1,2017-01-29,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,39,0
4,1,1,3,1,2017-02-02,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,71,0
4,1,2,5,1,2017-01-30,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-17,83,0
4,1,2,1,1,2017-01-17,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-17,51,0
4,1,3,0,1,2017-01-30,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-05,64,1
4,1,3,0.5,1,2017-02-05,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-05,32,0
4,1,4,1,1,2017-02-05,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-05,32,0
4,1,4,0,1,2017-02-02,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-05,64,1
4,1,5,2,1,2017-02-07,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-07,30,0
4,1,5,0,1,2017-02-02,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-07,62,1
4,1,6,2,1,2017-01-18,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,50,0
4,1,6,0,1,2017-01-30,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,82,1
4,1,7,0,1,2017-01-28,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-23,77,1
4,1,7,0,1,2017-01-23,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-23,45,1
4,1,8,1,1,2017-01-29,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,39,0
4,1,8,0,1,2017-01-29,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,71,1
4,1,9,3,1,2017-01-30,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-01,68,0
4,1,9,0.5,1,2017-02-01,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-01,36,0
4,1,10,1,1,2017-01-30,2017-04-10,Mymensingh,2017-03-09,2017-04-04,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,82,0
4,1,10,0,1,2017-01-18,2017-03-09,Mymensingh,2017-03-09,2017-04-04,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,50,1
4,2,11,2,1,2017-01-16,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-16,71,0
4,2,11,0,1,2017-01-24,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-16,89,1
4,2,12,0,1,2017-01-25,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-16,89,1
4,2,12,1.5,1,2017-01-16,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-16,71,0
4,2,13,0,1,2017-01-16,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-16,71,1
4,2,13,0,1,2017-01-26,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-16,89,1
4,2,14,0,1,2017-01-17,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-17,70,1
4,2,14,5,1,2017-01-23,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-17,88,0
4,2,15,0,1,2017-01-22,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-18,87,1
4,2,15,2,1,2017-01-18,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-18,69,0
4,2,16,0,1,2017-01-23,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-18,87,1
4,2,16,3,1,2017-01-18,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-18,69,0
4,2,17,0,1,2017-01-24,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-16,89,1
4,2,17,2.5,1,2017-01-16,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-16,71,0
4,2,18,0,1,2017-01-25,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-12,93,1
4,2,18,3.5,1,2017-01-12,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-12,75,0
4,2,19,6,1,2017-01-23,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-13,92,0
4,2,19,2.5,1,2017-01-13,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-13,74,0
4,2,20,3,1,2017-01-12,2017-03-28,Mymensingh,2017-03-28,2017-04-14,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-12,75,0
4,2,20,0,1,2017-01-25,2017-04-15,Mymensingh,2017-03-28,2017-04-14,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-12,93,1
4,3,21,2,1,2017-01-20,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-20,48,0
4,3,21,3,1,2017-02-02,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-20,106,0
4,3,22,2.5,1,2017-01-18,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,50,0
4,3,22,0,1,2017-01-27,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,108,1
4,3,23,0,1,2017-02-03,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-16,110,1
4,3,23,1,1,2017-01-16,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-16,52,0
4,3,24,6,1,2017-01-29,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,39,0
4,3,24,3,1,2017-02-02,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,97,0
4,3,25,2,1,2017-02-01,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-01,36,0
4,3,25,0,1,2017-01-30,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-01,94,1
4,3,26,2,1,2017-02-03,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,108,0
4,3,26,1.5,1,2017-01-18,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-18,50,0
4,3,27,3,1,2017-02-01,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-01,36,0
4,3,27,0,1,2017-01-27,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-02-01,94,1
4,3,28,0,1,2017-01-28,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,97,1
4,3,28,1,1,2017-01-29,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-29,39,0
4,3,29,0,1,2017-01-22,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-22,46,1
4,3,29,0,1,2017-01-26,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-22,104,1
4,3,30,0,1,2017-01-30,2017-05-06,Mymensingh,2017-03-06,2017-04-30,2,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-25,101,1
4,3,30,2,1,2017-01-25,2017-03-09,Mymensingh,2017-03-06,2017-04-30,1,Mymensingh,Haluaghat Upazila,0,1,0,2017-01-25,43,0
4,4,31,4,1,2017-01-29,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-29,55,0
4,4,31,0,1,2017-01-24,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-29,72,1
4,4,32,5,1,2017-01-30,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-30,54,0
4,4,32,0,1,2017-01-19,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-30,71,1
4,4,33,3,1,2017-01-26,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-26,58,0
4,4,33,0,1,2017-01-25,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-26,75,1
4,4,34,6,1,2017-01-27,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-27,57,0
4,4,34,0,1,2017-01-22,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-27,74,1
4,4,35,7,1,2017-01-24,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-24,60,0
4,4,35,0,1,2017-01-23,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-24,77,1
4,4,36,0,1,2017-01-25,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-02-01,69,1
4,4,36,6,1,2017-02-01,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-02-01,52,0
4,4,37,8,1,2017-01-24,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-24,60,0
4,4,37,0,1,2017-01-23,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-24,77,1
4,4,38,4,1,2017-01-31,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-31,53,0
4,4,38,4,1,2017-01-20,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-31,70,0
4,4,39,3,1,2017-01-29,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-29,55,0
4,4,39,3,1,2017-01-23,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-29,72,0
4,4,40,4,1,2017-01-28,2017-03-25,Mymensingh,2017-03-23,2017-04-10,1,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-28,56,0
4,4,40,5,1,2017-01-21,2017-04-11,Mymensingh,2017-03-23,2017-04-10,2,Mymensingh,Haluaghat Upazila,1,0,0,2017-01-28,73,0
4,5,41,3,1,2017-01-30,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-14,111,0
4,5,41,4,1,2017-01-14,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-14,72,0
4,5,42,0,1,2017-01-26,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,109,1
4,5,42,3,1,2017-01-16,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,70,0
4,5,43,0,1,2017-01-28,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,109,1
4,5,43,2,1,2017-01-16,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,70,0
4,5,44,0,1,2017-01-27,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-12,113,1
4,5,44,0,1,2017-01-12,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-12,74,1
4,5,45,0,1,2017-01-16,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,70,1
4,5,45,2,1,2017-01-30,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,109,0
4,5,46,0,1,2017-01-25,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-17,108,1
4,5,46,2.5,1,2017-01-17,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-17,69,0
4,5,47,2,1,2017-01-15,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-15,71,0
4,5,47,4,1,2017-02-02,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-15,110,0
4,5,48,0,1,2017-01-28,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-11,114,1
4,5,48,7,1,2017-01-11,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-11,75,0
4,5,49,3,1,2017-01-16,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,70,0
4,5,49,0,1,2017-02-03,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-16,109,1
4,5,50,0,1,2017-01-27,2017-05-05,Mymensingh,2017-03-26,2017-04-25,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-17,108,1
4,5,50,3,1,2017-01-17,2017-03-27,Mymensingh,2017-03-26,2017-04-25,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-17,69,0
4,6,51,5.5,1,2017-02-03,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-03,39,0
4,6,51,0,1,2017-01-27,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-03,82,1
4,6,52,0,1,2017-01-28,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-28,45,1
4,6,52,0,1,2017-01-28,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-28,88,1
4,6,53,0,1,2017-01-26,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-05,80,1
4,6,53,0,1,2017-02-05,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-05,37,1
4,6,54,3,1,2017-01-30,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-30,43,0
4,6,54,0,1,2017-01-29,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-30,86,1
4,6,55,3,1,2017-02-06,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-06,36,0
4,6,55,0,1,2017-01-27,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-06,79,1
4,6,56,0,1,2017-02-02,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-02,40,1
4,6,56,0,1,2017-01-25,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-02,83,1
4,6,57,0,1,2017-01-29,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-08,77,1
4,6,57,0,1,2017-02-08,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-08,34,1
4,6,58,0,1,2017-02-05,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-05,37,1
4,6,58,0,1,2017-01-27,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-05,80,1
4,6,59,0,1,2017-01-30,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-30,43,1
4,6,59,0,1,2017-01-28,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-01-30,86,1
4,6,60,0,1,2017-02-04,2017-03-14,Mymensingh,2017-03-14,2017-04-24,1,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-04,38,1
4,6,60,0,1,2017-01-29,2017-04-26,Mymensingh,2017-03-14,2017-04-24,2,Mymensingh,Haluaghat Upazila,1,1,0,2017-02-04,81,1
4,7,61,4,1,2017-02-12,2017-03-11,Mymensingh,2017-03-09,2017-04-06,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-02-12,27,0
4,7,61,2,1,2017-01-22,2017-04-07,Mymensingh,2017-03-09,2017-04-06,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-02-12,54,0
4,7,62,3,1,2017-01-29,2017-04-07,Mymensingh,2017-03-09,2017-04-06,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-02-01,65,0
4,7,62,3,1,2017-02-01,2017-03-11,Mymensingh,2017-03-09,2017-04-06,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-02-01,38,0
4,7,63,1,1,2017-01-25,2017-03-11,Mymensingh,2017-03-09,2017-04-06,1,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-25,45,0
4,7,63,6,1,2017-02-01,2017-04-07,Mymensingh,2017-03-09,2017-04-06,2,Mymensingh,Haluaghat Upazila,0,0,0,2017-01-25,72,0
