PaperAuthors,Site,Year,Treatments,DifferenceinYield,DifferenceinWateruse,DifferenceinMethane,Note,I,Bibliography
Linquist et al (2015),"Stuttgart, AR, USA",2013,AWD/40,4.97967479674797,-24.7378233512002,-50.4166666666667,AWD/40 : reirrigate after soil moisture reach 40 % of saturated volumetric water,"","Linquist, Bruce A., Merle M. Anders, Maria Arlene A. Adviento-Borbe, Rufus L. Chaney, L. Lanier Nalley, Eliete F.F. da Rosa, and Chris van Kessel. 2015. “Reducing Greenhouse Gas Emissions, Water Use, and Grain Arsenic Levels in Rice Systems.” Global Change Biology 21 (1): 407–17. https://doi.org/10.1111/gcb.12701."
"","",2013,AWD/60,-2.33739837398374,-52.9247261710557,-91.8055555555556,"","",""
"","",2013,AWD/40,-15.5487804878049,-64.6935446282918,-90.4861111111111,"","",""
Yao et al (2012),"",2009,AWD,-3.03766707168894,-24.3243243243243,,Yangliangyou 6 (YLY6),"","Yao, Fengxian, Jianliang Huang, Kehui Cui, Lixiao Nie, Jing Xiang, Xiaojin Liu, Wei Wu, Mingxia Chen, and Shaobing Peng. 2012. “Agronomic Performance of High-Yielding Rice Variety Grown under Alternate Wetting and Drying Irrigation.” Field Crops Research 126 (February): 16–22. https://doi.org/10.1016/j.fcr.2011.09.018."
"","",2009,"",-1.2012012012012,-24.1106719367589,,Hanyou 3 (HY3),"",""
"","",2010,"",1.61507402422611,-37.7245508982036,,YLY6,"",""
"","",2010,"",8.01393728222996,-37.7245508982036,,HY3,"",""
Lampayan et al (2014a),"PhilRice, Nueva Ecija, Philippines",2010,AWD,-3.75,-42.4242424242424,,"","","Lampayan, R. M., K. C. Samoy-Pascual, E. B. Sibayan, V. B. Ella, O. P. Jayag, R. J. Cabangon, and B. A. M. Bouman. 2015. “Effects of Alternate Wetting and Drying (AWD) Threshold Level and Plant Seedling Age on Crop Performance, Water Input, and Water Productivity of Transplanted Rice in Central Luzon, Philippines.” Paddy and Water Environment 13 (3): 215–27. https://doi.org/10.1007/s10333-014-0423-5."
"","",2011,"",-10.1694915254237,-48.3333333333333,,"","",""
Belder et al (2004),Tuanlin,1999,AWD,-1.23456790123456,-14.7959183673469,,N regime : 180 kg per ha,"","Belder, P, B.A.M Bouman, R Cabangon, Lu Guoan, E.J.P Quilang, Li Yuanhua, J.H.J Spiertz, and T.P Tuong. 2004. “Effect of Water-Saving Irrigation on Rice Yield and Water Use in Typical Lowland Conditions in Asia.” Agricultural Water Management 65 (3): 193–210. https://doi.org/10.1016/j.agwat.2003.09.002."
"",Tuanlin,2000,AWD,0.598802395209589,-18.3132530120482,,"","",""
"",Munoz,2001,AWD,15.3225806451613,-16.4383561643836,,Sow at Dec 2001,"",""
De Vries (2014),"Ndiaye, Senegal (shallow water table)",2005 Dry,AWD,-33.7837837837838,-40.9395973154362,,"","","Vries, Michiel E. de, Jonne Rodenburg, Boubié V. Bado, Abdoualye Sow, Peter A. Leffelaar, and Ken E. Giller. 2010. “Rice Production with Less Irrigation Water Is Possible in a Sahelian Environment.” Field Crops Research 116 (1–2): 154–64. https://doi.org/10.1016/j.fcr.2009.12.006."
"","","",AWD-flooded,-17.5675675675676,-12.0805369127517,,"flood- AWD : flooded until vegetative period, then AWD","",""
"","","",flooded-AWD,-13.5135135135135,-25.503355704698,,"AWD-flood : AWD during the vegetative cycle only, then flooded","",""
"","",2005 Wet,AWD,-43.9024390243902,-40,,"","",""
"","","",AWD-flooded,19.5121951219512,-21.25,,"","",""
"","","",flooded-AWD,21.9512195121951,-31.25,,"","",""
"","",2006 Dry,AWD,-28.9719626168224,-34.4827586206897,,"","",""
"","","",AWD-flooded,-9.34579439252337,-30.1724137931035,,"","",""
"","","",flooded-AWD,-9.34579439252337,-34.4827586206897,,"","",""
"","Fanaye, Senegal (deep water table)",2005 Wet,AWD,0,-46.6165413533835,,"","",""
"","","",AWD-flooded,27.027027027027,-39.0977443609023,,"","",""
"","","",flooded-AWD,40.5405405405405,-39.0977443609023,,"","",""
"","",2006 Dry,AWD,0.854700854700867,-4.50450450450451,,"","",""
"","","",AWD-flooded,-7.69230769230768,-9.90990990990991,,"","",""
"","","",flooded-AWD,-9.4017094017094,-4.50450450450451,,"","",""
