fid,village_id,farmer_id,srtm_eleva,soilclay,soilsand,soilcarbon,soilwater
0,1,1,14,26,48,4,35
1,1,2,13,26,48,4,35
2,1,3,15,26,48,4,35
3,1,4,14,26,48,4,35
4,1,5,13,26,48,3,36
5,1,6,14,26,48,4,35
6,1,7,14,26,48,4,35
7,1,8,13,26,48,3,36
8,1,9,13,26,48,3,36
9,1,10,14,25,48,3,35
10,2,11,15,24,51,3,33
11,2,12,15,24,51,3,33
12,2,13,19,24,51,3,33
13,2,14,15,24,51,3,33
14,2,15,15,24,51,3,33
15,2,16,15,24,51,3,33
16,2,17,15,24,51,3,33
17,2,18,16,24,50,3,35
18,2,19,16,24,50,3,35
19,2,20,16,24,50,3,35
20,3,21,25,28,47,3,36
21,3,22,25,28,47,3,36
22,3,23,21,28,47,3,36
23,3,24,19,27,47,3,35
24,3,25,19,27,47,3,35
25,3,26,20,28,47,3,36
26,3,27,19,27,47,3,35
27,3,28,20,28,47,3,36
28,3,29,21,28,47,3,36
29,3,30,19,28,47,3,36
30,4,31,29,26,41,3,35
31,4,32,30,26,41,3,35
32,4,33,29,28,42,3,33
33,4,34,29,26,41,3,35
34,4,35,30,28,42,3,32
35,4,36,27,28,42,3,33
36,4,37,30,28,42,3,33
37,4,38,27,28,42,3,33
38,4,39,30,28,42,3,32
39,4,40,30,28,42,3,33
40,5,41,13,27,50,4,33
41,5,42,13,26,50,4,35
42,5,43,13,26,50,4,35
43,5,44,13,26,50,4,35
44,5,45,16,26,50,4,35
45,5,46,13,26,50,4,35
46,5,47,14,27,50,4,33
47,5,48,13,27,46,4,37
48,5,49,14,26,50,4,35
49,5,50,11,27,46,4,37
50,6,51,17,26,50,3,36
51,6,52,17,26,50,3,36
52,6,53,16,26,50,3,36
53,6,54,17,26,50,3,36
54,6,55,16,26,50,3,36
55,6,56,17,26,50,3,36
56,6,57,17,26,50,3,36
57,6,58,17,26,50,3,36
58,6,59,16,26,50,3,36
59,6,60,16,26,50,3,36
60,7,61,16,26,51,3,36
61,7,62,15,26,51,3,36
62,7,63,15,26,50,3,35
63,7,64,15,26,50,3,35
64,7,65,15,26,51,3,36
65,7,66,16,26,51,3,36
66,7,67,15,26,50,3,35
67,7,68,15,26,50,3,35
68,7,69,15,26,50,3,35
69,7,70,16,26,51,3,36
70,8,71,16,25,49,3,34
71,8,72,18,25,49,3,34
72,8,73,18,25,49,3,34
73,8,74,18,25,49,3,36
74,8,75,18,27,49,3,34
75,8,76,18,25,49,3,36
76,8,77,18,25,49,3,36
77,8,78,18,25,49,3,34
78,8,79,18,27,49,3,34
79,8,80,16,25,49,3,34
80,9,81,14,24,49,3,36
81,9,82,18,26,47,3,36
82,9,83,18,26,47,3,36
83,9,84,14,26,47,3,36
84,9,85,15,26,48,4,41
85,9,86,14,26,47,3,36
86,9,87,14,26,47,3,36
87,9,88,14,26,47,3,36
88,9,89,14,26,47,3,36
89,9,90,18,26,47,3,36
90,10,91,16,26,47,3,36
91,10,92,16,26,47,3,36
92,10,93,16,26,50,6,39
93,10,94,16,26,47,3,36
94,10,95,16,26,47,3,36
95,10,96,16,26,47,3,36
96,10,97,15,25,48,4,37
97,10,98,17,26,47,3,36
98,10,99,14,26,50,6,39
99,10,100,14,26,47,3,36
100,11,101,18,25,48,4,36
101,11,102,17,25,48,4,36
102,11,103,18,26,49,4,36
103,11,104,17,25,48,4,36
104,11,105,17,25,48,4,36
105,11,106,18,25,48,4,36
106,11,107,17,25,48,4,36
107,11,108,17,25,48,4,36
108,11,109,18,26,49,4,36
109,11,110,18,25,48,4,36
110,13,111,22,30,42,3,35
111,13,112,22,30,42,3,35
112,13,113,22,30,42,3,35
113,13,114,22,30,42,3,35
114,13,115,22,30,42,3,35
115,13,116,22,30,42,3,35
