in_fid,near_fid,near_dist,near_rank,town,upazila,farmer_id
0,0,6146.5076046623,1,mohanpur,paba,12001
0,2,7811.54458978673,2,paba,paba,12001
0,1,14077.4217035007,3,tanore,paba,12001
0,3,15274.3893554678,4,rajshahi,paba,12001
1,0,6142.26996225326,1,mohanpur,paba,12002
1,2,7813.23752307876,2,paba,paba,12002
1,1,14072.9936601713,3,tanore,paba,12002
1,3,15275.9413459822,4,rajshahi,paba,12002
2,0,6144.2674235018,1,mohanpur,paba,12003
2,2,7820.61403541017,2,paba,paba,12003
2,1,14078.2006586803,3,tanore,paba,12003
2,3,15283.6069075514,4,rajshahi,paba,12003
3,0,6160.76646282605,1,mohanpur,paba,12004
3,2,7826.57816360868,2,paba,paba,12004
3,1,14100.1530718678,3,tanore,paba,12004
3,3,15290.4266667638,4,rajshahi,paba,12004
4,0,6170.72444868247,1,mohanpur,paba,12005
4,2,7814.22104548315,2,paba,paba,12005
4,1,14107.3749366349,3,tanore,paba,12005
4,3,15278.1668137647,4,rajshahi,paba,12005
5,0,6150.89157136272,1,mohanpur,paba,12006
5,2,7818.48522907961,2,paba,paba,12006
5,1,14085.3114361768,3,tanore,paba,12006
5,3,15281.7078532729,4,rajshahi,paba,12006
6,0,6154.03199128324,1,mohanpur,paba,12007
6,2,7843.79382473508,2,paba,paba,12007
6,1,14098.5792843236,3,tanore,paba,12007
6,3,15307.7987009244,4,rajshahi,paba,12007
7,0,6165.87570954033,1,mohanpur,paba,12008
7,2,7850.01136215741,2,paba,paba,12008
7,1,14114.9516184275,3,tanore,paba,12008
7,3,15314.6382178723,4,rajshahi,paba,12008
8,0,6172.30216111342,1,mohanpur,paba,12009
8,2,7870.26932768508,2,paba,paba,12009
8,1,14129.9707655136,3,tanore,paba,12009
8,3,15335.6023859602,4,rajshahi,paba,12009
9,0,6156.63925717464,1,mohanpur,paba,12010
9,2,7831.53728712805,2,paba,paba,12010
9,1,14097.0975748927,3,tanore,paba,12010
9,3,15295.3411279769,4,rajshahi,paba,12010
10,0,6174.81528969538,1,mohanpur,paba,12011
10,2,7906.05611617485,2,paba,paba,12011
10,1,14145.7658436431,3,tanore,paba,12011
10,3,15372.2335993459,4,rajshahi,paba,12011
11,0,6166.44928386715,1,mohanpur,paba,12012
11,2,7938.07133709519,2,paba,paba,12012
11,1,14147.225340031,3,tanore,paba,12012
11,3,15404.6001148497,4,rajshahi,paba,12012
12,0,6166.66433538796,1,mohanpur,paba,12013
12,2,7956.3296732166,2,paba,paba,12013
12,1,14153.8102122824,3,tanore,paba,12013
12,3,15423.2081588527,4,rajshahi,paba,12013
13,0,6144.6659411209,1,mohanpur,paba,12014
13,2,7985.07008017075,2,paba,paba,12014
13,1,14138.0634625076,3,tanore,paba,12014
13,3,15451.7830233072,4,rajshahi,paba,12014
14,0,6124.5331923916,1,mohanpur,paba,12015
14,2,8001.16949166934,2,paba,paba,12015
14,1,14120.1402122289,3,tanore,paba,12015
14,3,15467.5353858175,4,rajshahi,paba,12015
15,0,6095.87924154643,1,mohanpur,paba,12016
15,2,8012.67680877261,2,paba,paba,12016
15,1,14090.6985155302,3,tanore,paba,12016
15,3,15478.3012598055,4,rajshahi,paba,12016
16,0,6097.6507006897,1,mohanpur,paba,12017
16,2,8017.23699391156,2,paba,paba,12017
16,1,14094.336279355,3,tanore,paba,12017
16,3,15483.0151210391,4,rajshahi,paba,12017
17,0,6108.24025740482,1,mohanpur,paba,12018
17,2,8021.14033163178,2,paba,paba,12018
17,1,14108.0062529427,3,tanore,paba,12018
17,3,15487.3523964995,4,rajshahi,paba,12018
18,0,6112.40486444812,1,mohanpur,paba,12019
18,2,8013.8993151477,2,paba,paba,12019
18,1,14110.3786552219,3,tanore,paba,12019
18,3,15480.1098402404,4,rajshahi,paba,12019
19,0,6130.42939433269,1,mohanpur,paba,12020
19,2,7995.70053463112,2,paba,paba,12020
19,1,14125.1313751599,3,tanore,paba,12020
19,3,15462.1548675062,4,rajshahi,paba,12020
20,0,6158.85547581202,1,mohanpur,paba,12021
20,2,7971.6402699057,2,paba,paba,12021
20,1,14149.9789597634,3,tanore,paba,12021
20,3,15438.5538581788,4,rajshahi,paba,12021
21,0,6204.39531143816,1,mohanpur,paba,12022
21,2,8124.89158640339,2,paba,paba,12022
21,1,14251.8938779147,3,tanore,paba,12022
21,3,15595.0368020547,4,rajshahi,paba,12022
22,0,6201.09326852365,1,mohanpur,paba,12023
22,2,8136.74693103224,2,paba,paba,12023
22,1,14251.7638667699,3,tanore,paba,12023
22,3,15606.9481552744,4,rajshahi,paba,12023
23,0,6230.09204312778,1,mohanpur,paba,12024
23,2,8109.09126226963,2,paba,paba,12024
23,1,14276.1969437723,3,tanore,paba,12024
23,3,15579.5374018128,4,rajshahi,paba,12024
24,0,6227.61117116696,1,mohanpur,paba,12025
24,2,8112.47446065044,2,paba,paba,12025
24,1,14274.4171325601,3,tanore,paba,12025
24,3,15582.9095409773,4,rajshahi,paba,12025
25,2,2451.8010791529,1,paba,paba,12026
25,3,9736.27440803772,2,rajshahi,paba,12026
25,0,10183.5176745931,3,mohanpur,paba,12026
